Date,Result,Lucky Ball
"Thursday, Feb 16, 2023","6, 11, 40, 42, 45",10
"Wednesday, Feb 15, 2023","9, 16, 28, 35, 44",1
"Tuesday, Feb 14, 2023","7, 21, 27, 41, 44",13
"Monday, Feb 13, 2023","1, 8, 15, 39, 48",7
"Sunday, Feb 12, 2023","8, 9, 21, 22, 32",18
"Saturday, Feb 11, 2023","1, 12, 13, 36, 48",6
"Friday, Feb 10, 2023","10, 11, 12, 18, 27",18
"Thursday, Feb 09, 2023","17, 33, 35, 38, 48",3
"Wednesday, Feb 08, 2023","2, 10, 32, 37, 40",5
"Tuesday, Feb 07, 2023","3, 7, 18, 31, 32",4
"Monday, Feb 06, 2023","1, 5, 15, 39, 46",16
"Sunday, Feb 05, 2023","2, 16, 23, 43, 47",3
"Saturday, Feb 04, 2023","14, 24, 30, 44, 47",18
"Friday, Feb 03, 2023","2, 20, 31, 34, 48",3
"Thursday, Feb 02, 2023","10, 17, 22, 42, 46",13
"Wednesday, Feb 01, 2023","11, 19, 31, 33, 46",10
"Tuesday, Jan 31, 2023","2, 3, 10, 15, 22",12
"Monday, Jan 30, 2023","9, 16, 34, 46, 47",13
"Sunday, Jan 29, 2023","15, 16, 21, 23, 46",6
"Saturday, Jan 28, 2023","2, 5, 35, 38, 45",9
"Friday, Jan 27, 2023","4, 5, 7, 39, 42",10
"Thursday, Jan 26, 2023","15, 17, 26, 29, 35",9
"Wednesday, Jan 25, 2023","19, 22, 29, 41, 43",13
"Tuesday, Jan 24, 2023","1, 25, 28, 39, 47",10
"Monday, Jan 23, 2023","1, 2, 26, 36, 38",1
"Sunday, Jan 22, 2023","7, 9, 13, 24, 44",5
"Saturday, Jan 21, 2023","6, 10, 11, 29, 35",7
"Friday, Jan 20, 2023","2, 10, 28, 30, 44",13
"Thursday, Jan 19, 2023","6, 8, 12, 21, 42",6
"Wednesday, Jan 18, 2023","12, 27, 35, 42, 44",6
"Tuesday, Jan 17, 2023","3, 4, 25, 35, 48",18
"Monday, Jan 16, 2023","11, 17, 25, 31, 38",17
"Sunday, Jan 15, 2023","5, 8, 13, 41, 44",10
"Saturday, Jan 14, 2023","4, 7, 16, 22, 40",8
"Friday, Jan 13, 2023","3, 17, 21, 24, 44",10
"Thursday, Jan 12, 2023","3, 12, 17, 42, 45",6
"Wednesday, Jan 11, 2023","24, 39, 41, 42, 45",6
"Tuesday, Jan 10, 2023","7, 15, 29, 41, 43",5
"Monday, Jan 09, 2023","3, 5, 24, 26, 31",5
"Sunday, Jan 08, 2023","6, 18, 32, 42, 47",9
"Saturday, Jan 07, 2023","4, 5, 13, 22, 44",8
"Friday, Jan 06, 2023","7, 18, 24, 33, 43",6
"Thursday, Jan 05, 2023","7, 15, 23, 32, 40",2
"Wednesday, Jan 04, 2023","2, 5, 11, 13, 40",15
"Tuesday, Jan 03, 2023","14, 24, 34, 45, 47",1
"Monday, Jan 02, 2023","4, 12, 15, 25, 44",1
"Sunday, Jan 01, 2023","1, 4, 7, 14, 36",11
"Saturday, Dec 31, 2022","2, 5, 37, 39, 40",14
"Friday, Dec 30, 2022","8, 13, 35, 42, 47",1
"Thursday, Dec 29, 2022","7, 9, 11, 23, 32",12
"Wednesday, Dec 28, 2022","7, 10, 14, 15, 41",8
"Tuesday, Dec 27, 2022","9, 19, 35, 42, 43",6
"Monday, Dec 26, 2022","17, 18, 22, 37, 43",16
"Sunday, Dec 25, 2022","9, 25, 34, 41, 48",18
"Saturday, Dec 24, 2022","4, 7, 15, 25, 36",7
"Friday, Dec 23, 2022","5, 12, 30, 37, 41",17
"Thursday, Dec 22, 2022","8, 16, 24, 27, 38",1
"Wednesday, Dec 21, 2022","1, 5, 21, 27, 38",3
"Tuesday, Dec 20, 2022","22, 23, 26, 34, 39",17
"Monday, Dec 19, 2022","10, 12, 23, 32, 45",11
"Sunday, Dec 18, 2022","11, 19, 20, 25, 34",18
"Saturday, Dec 17, 2022","8, 12, 36, 39, 47",14
"Friday, Dec 16, 2022","1, 22, 30, 32, 34",18
"Thursday, Dec 15, 2022","2, 10, 19, 35, 46",15
"Wednesday, Dec 14, 2022","2, 4, 6, 17, 20",5
"Tuesday, Dec 13, 2022","4, 5, 10, 20, 34",6
"Monday, Dec 12, 2022","13, 15, 29, 36, 44",8
"Sunday, Dec 11, 2022","4, 15, 28, 32, 45",18
"Saturday, Dec 10, 2022","2, 16, 30, 39, 41",9
"Friday, Dec 09, 2022","4, 23, 31, 44, 46",5
"Thursday, Dec 08, 2022","2, 4, 14, 29, 40",8
"Wednesday, Dec 07, 2022","2, 23, 32, 44, 48",2
"Tuesday, Dec 06, 2022","11, 16, 22, 31, 42",18
"Monday, Dec 05, 2022","15, 19, 20, 38, 48",15
"Sunday, Dec 04, 2022","4, 8, 22, 38, 43",12
"Saturday, Dec 03, 2022","1, 7, 13, 30, 40",3
"Friday, Dec 02, 2022","4, 8, 20, 25, 34",16
"Thursday, Dec 01, 2022","4, 10, 27, 42, 48",1
"Wednesday, Nov 30, 2022","5, 6, 11, 15, 30",9
"Tuesday, Nov 29, 2022","17, 18, 26, 27, 48",13
"Monday, Nov 28, 2022","17, 21, 35, 36, 42",9
"Sunday, Nov 27, 2022","2, 25, 27, 30, 39",12
"Saturday, Nov 26, 2022","5, 12, 18, 19, 31",4
"Friday, Nov 25, 2022","1, 6, 23, 36, 42",1
"Thursday, Nov 24, 2022","12, 15, 22, 25, 43",10
"Wednesday, Nov 23, 2022","20, 21, 24, 34, 37",14
"Tuesday, Nov 22, 2022","8, 11, 13, 20, 28",4
"Monday, Nov 21, 2022","1, 2, 5, 33, 38",12
"Sunday, Nov 20, 2022","19, 24, 35, 43, 47",5
"Saturday, Nov 19, 2022","1, 21, 34, 39, 44",10
